EmailAddress,SubscriberKey,FirstName,LastName,Country,OptInDate,OptInSource,Interest,myNTOLevel,myNTOBalance,Gender,Birthday,StoreId,Newsletter,Promotion,Customer,PreferredName
carl86@beck.com,9f72a3cc-733e-4c0c-8d5d-d458bbe5cb36,Christopher,Martinez,France,8/20/2020 12:00:00 AM,Mobile App,Basketball,Silver,3663,Male,9/12/1975 12:00:00 AM,12,False,False,False,
camposmegan@stevens-anderson.com,632181c1-5faa-43fb-9914-4e1284742510,Jacob,Riley,Germany,6/26/2022 12:00:00 AM,Website,Running,Bronze,2740,Female,11/13/1959 12:00:00 AM,13,False,True,True,
john37@price.com,edf5c3e1-4a02-4eab-8e1c-11126e6bd3de,Jacob,Guerrero,India,5/12/2023 12:00:00 AM,Mobile App,Running,Platinum,713,Female,6/4/1976 12:00:00 AM,14,False,False,False,
robertsbrent@sanchez-hill.com,c61fdceb-6466-4715-81ba-6e76380e82a8,Angel,Smith,Brazil,3/20/2022 12:00:00 AM,Social Media,Basketball,Gold,8918,Male,11/12/1967 12:00:00 AM,15,True,True,True,
ariasmatthew@jackson-ward.org,ef8c0f17-d5ed-4d88-8c02-fd07e2cc5818,Luke,Smith,Canada,4/21/2020 12:00:00 AM,Mobile App,Soccer,Silver,3528,Male,3/31/1950 12:00:00 AM,16,True,False,False,
calderonzachary@smith-gardner.com,46ca44cd-8b22-4b58-9b37-9be53991165b,Nathaniel,Welch,Canada,10/11/2023 12:00:00 AM,Social Media,Cycling,Gold,3020,Female,11/4/2000 12:00:00 AM,17,True,True,True,
craigtyler@dougherty.info,7111bb54-8960-4a07-9db9-305aac553126,Heidi,Maldonado,UK,5/6/2020 12:00:00 AM,Social Media,Tennis,Platinum,766,Non-Binary,6/2/1974 12:00:00 AM,18,False,True,True,
clarkkimberly@thomas.com,d50f857a-2154-4e0e-9a24-5f98c902e45f,Matthew,Brooks,Australia,8/15/2022 12:00:00 AM,Website, ,Gold,8463,Male,12/14/1992 12:00:00 AM,19,False,True,True,
john36@yahoo.com,2466617a-5f65-4350-ab8f-1f0b93d53da6,Mary,Terry,India,11/28/2021 12:00:00 AM,Mobile App,Baseball,Platinum,7298,Non-Binary,1/10/1993 12:00:00 AM,20,True,True,True,
ehernandez@yahoo.com,2b39ba21-7b30-4953-8f80-046eb1d53faa,Melissa,Stokes,USA,3/31/2021 12:00:00 AM, ,Gymnastics,Gold,5289,Female,12/22/1978 12:00:00 AM,21,True,False,False,
kristin21@hotmail.com,b26267fc-21fd-4e02-abdb-e00cf3ad031f,Denise,Campbell,Japan,9/17/2020 12:00:00 AM,In-Store,Swimming,Platinum,8823,Non-Binary,10/6/1948 12:00:00 AM,22,True,True,True,
russelljohn@martinez-patterson.net,01d26ab8-ab9a-4ce5-b13c-d9b814df3298,Dwayne,Rojas,Australia,10/31/2021 12:00:00 AM,Mobile App,Running,Platinum,177,Male,4/16/1977 12:00:00 AM,23,True,False,False,
hodgesgregory@yahoo.com,94646b05-7942-44f6-b680-2ff0af680d7f,Amber,Medina,South Africa,4/16/2023 12:00:00 AM,In-Store,Baseball,Silver,4335,Non-Binary,3/18/1992 12:00:00 AM,24,False,False,False,
gweaver@gmail.com,8455745f-b6bf-4de0-8b8d-8e2944ce727e,Adrian,Hughes,Canada,4/13/2020 12:00:00 AM, ,Running,Gold,4709,Male,8/26/1956 12:00:00 AM,25,True,True,True,
parkjon@clarke.com,dc8004e6-1076-48df-87b3-a8b6f31a4f60,Robert,Sosa,USA,2/4/2023 12:00:00 AM,Referral,Running,Silver,3420,Non-Binary,12/5/1949 12:00:00 AM,26,False,True,True,
rogersreginald@hotmail.com,82899f8b-5a66-48ac-b69e-4e2aef907832,Nicholas,Payne,Australia,1/2/2022 12:00:00 AM,Social Media,Soccer,Bronze,4056,Female,3/20/1986 12:00:00 AM,27,False,False,False,
cookbrittany@west-myers.com,1e70ab1b-11a5-42e7-8e9e-ce3288b59706,Beth,Marks,Germany,8/31/2024 12:00:00 AM,Website,Running,Gold,5375,Female,4/26/1988 12:00:00 AM,28,True,False,False,
douglas91@hernandez.com,388b6962-2065-4cdc-b7f3-bb19304408c9,Amy,Perkins,USA,6/13/2020 12:00:00 AM,Referral,Tennis,Bronze,490,Female,7/4/1993 12:00:00 AM,29,True,True,True,
jacksonjoel@vazquez.com,23bf4cc9-8bb5-4dd7-914d-8a5b10b5f61a,Heather,Robinson,Australia,5/27/2021 12:00:00 AM,Social Media,Soccer,Bronze,2282,Female,3/12/1953 12:00:00 AM,30,False,True,True,
isaiah45@gmail.com,f3ad7e13-c2da-4e5e-89b8-b22916aad8ef,Melissa,English,Japan,5/22/2021 12:00:00 AM,Referral,Gymnastics,Platinum,566,Female,2/1/2007 12:00:00 AM,31,False,False,False,
tiffany35@yahoo.com,7701d510-98c6-4717-9780-7a3d80046ca8,David,Carpenter,South Africa,6/28/2024 12:00:00 AM,In-Store,Baseball,Bronze,8129,Female,5/22/1992 12:00:00 AM,32,False,True,True,
cookelizabeth@yahoo.com,456d1c83-ec8e-469b-8ef2-ef408c31c1c2,Pamela,Barnes,Canada,7/28/2023 12:00:00 AM,Website,Cricket,Bronze,7764,Female,11/10/1985 12:00:00 AM,33,True,True,False,
katherinecox@gmail.com,68c4a623-c729-4f83-8554-18ea901567fa,Yolanda,Rhodes,Brazil,4/7/2021 12:00:00 AM,Mobile App,Tennis,Platinum,6712,Male,8/2/1982 12:00:00 AM,34,False,True,False,
sobrien@hotmail.com,a0611318-0228-4e13-bbf5-f3bc508b2145,Teresa,Day,France,10/3/2021 12:00:00 AM,Website,Baseball,Gold,9563,Male,5/23/1988 12:00:00 AM,35,True,True,False,
whitelaurie@hotmail.com,27191e58-1088-4c32-8bee-d3b03e123ba8,Shannon,Moore,Australia,12/31/2022 12:00:00 AM,Website,Swimming,Bronze,5089,Non-Binary,2/13/1991 12:00:00 AM,36,True,True,True,
kristen50@gmail.com,9d4b2f15-bbdd-4002-98d5-7a1e25ec1ac7,James,Webb,Australia,3/20/2023 12:00:00 AM,Social Media,Cricket,Gold,3200,Non-Binary,3/5/1966 12:00:00 AM,37,True,True,True,
lisa39@smith.com,f2f3083c-babc-46e7-bd09-82130eca52f5,Nicholas,Mcdaniel,Canada,10/10/2022 12:00:00 AM,Social Media,Swimming,Gold,5890,Non-Binary,5/30/1953 12:00:00 AM,38,False,False,True,
butleranthony@gmail.com,a5e70285-e2d2-437d-928e-5f26a98541df,Courtney,Davis,Germany,9/9/2020 12:00:00 AM,Website,Golf,Platinum,1278,Non-Binary,8/16/1960 12:00:00 AM,39,True,True,True,
wilsonryan@rogers.com,bf667091-4223-4f23-a570-51c9d1c8ae7e,Heather,Hernandez,UK,6/6/2020 12:00:00 AM,In-Store,Running,Bronze,4446,Female,7/18/1994 12:00:00 AM,40,False,True,True,
karengraves@hotmail.com,4bd11fae-27c6-4b46-a5be-f177dc9d7fd5,Stephanie,Harris,Japan,1/9/2022 12:00:00 AM,Social Media,Golf,Bronze,3255,Female,8/19/1997 12:00:00 AM,41,True,True,False,
richard27@green.biz,842ace69-b064-4028-9874-6d87a38982d5,Brian,Sanchez,South Africa,12/15/2021 12:00:00 AM,Referral,Gymnastics,Platinum,8083,Male,4/24/1946 12:00:00 AM,42,False,False,True,
jhutchinson@gmail.com,fd390c7f-cd1d-45e7-9887-753aff07dfa5,Jeremy,Donovan,Australia,4/23/2022 12:00:00 AM,Website,Soccer,Silver,2707,Non-Binary,4/28/1972 12:00:00 AM,43,False,False,False,
liustacy@gmail.com,a01f3026-6d44-45c6-bdc9-be4a608f4255,Ryan,Smith,Brazil,11/7/2021 12:00:00 AM,Mobile App,Cricket,Platinum,3397,Non-Binary,9/7/2001 12:00:00 AM,44,True,False,True,
michael75@davis.com,ad06aa1d-3eb1-4b9e-9562-16f00721aae3,Vincent,May,India,2/13/2022 12:00:00 AM,Referral,Basketball,Gold,1916,Non-Binary,3/3/1954 12:00:00 AM,45,False,True,False,
ojohnson@gmail.com,392c651e-c2c1-4f39-a84d-8697ae95a9a7,Felicia,Novak,Canada,8/29/2022 12:00:00 AM,Mobile App,Soccer,Platinum,8185,Male,1/10/2001 12:00:00 AM,46,False,False,False,
jamesewing@gmail.com,df64c04b-d57b-48e7-80a4-1c418c0ebf87,Matthew,Haas,UK,5/21/2024 12:00:00 AM,Referral,Cycling,Silver,6943,Male,7/7/1998 12:00:00 AM,47,False,True,True,
perezjessica@gmail.com,2c3c8b46-7400-4288-9d41-b75e77c63690,Jenna,Weaver,France,6/19/2022 12:00:00 AM,In-Store,Cycling,Platinum,5712,Non-Binary,5/18/1965 12:00:00 AM,48,True,False,False,
christophercallahan@gmail.com,75a3cea4-2703-41e7-9793-8f53b2c1140a,Jeffrey,Ray,Australia,5/31/2024 12:00:00 AM,Referral,Cricket,Silver,785,Non-Binary,5/27/1973 12:00:00 AM,49,True,True,False,
jon68@randall.net,40554c38-9562-489e-8079-399d676c96f6,Robin,Bond,Japan,5/25/2021 12:00:00 AM,Social Media,Soccer,Silver,2891,Male,2/18/1976 12:00:00 AM,50,True,True,True,
tiffany42@hotmail.com,62f26e50-07d1-4bc1-9e39-78124b0fbdc2,Nicholas,Morgan,India,10/5/2024 12:00:00 AM,Referral,Basketball,Platinum,4599,Female,8/21/2006 12:00:00 AM,51,False,True,True,
qhunt@yahoo.com,689034c7-3264-4c06-9a0c-4546bbf6c809,Benjamin,King,Brazil,10/17/2021 12:00:00 AM,Mobile App,Cricket,Silver,2403,Non-Binary,10/8/1998 12:00:00 AM,52,True,True,True,
acostarichard@tran-robinson.com,15a40e93-52e4-4d0c-883a-4a5909cb0370,Angela,Martinez,Canada,10/30/2023 12:00:00 AM,Website,Swimming,Bronze,1863,Non-Binary,9/23/1972 12:00:00 AM,53,False,False,False,
terrytimothy@gmail.com,681fb7ae-7d35-44b3-94bc-c83dc3e99669,Joshua,Solis,South Africa,8/4/2023 12:00:00 AM,Mobile App,Cycling,Gold,8624,Male,5/29/1976 12:00:00 AM,54,False,True,True,
brandon38@shaffer-castaneda.com,7cc36873-8d47-485a-865f-b67ba79e84f9,Justin,Morse,Australia,10/31/2020 12:00:00 AM, ,Baseball,Gold,41,Female,6/16/1980 12:00:00 AM,55,False,False,False,
holly44@parker.org,c3bca449-e367-4058-9f99-62cffe758285,Kayla,Smith,Germany,2/3/2021 12:00:00 AM,In-Store,Swimming,Bronze,5979,Non-Binary,3/19/1982 12:00:00 AM,56,False,False,True,
uallen@yahoo.com,4e3b5d1f-12c7-4145-960f-f0db88ef4f0e,Keith,Jones,USA,1/26/2025 12:00:00 AM,Social Media,Cycling,Bronze,9135,Male,12/18/2003 12:00:00 AM,57,True,True,True,
foxjames@reyes-oliver.com,4a7782ea-2e72-498a-af23-d50b3f01a056,Dana,Allen,Australia,5/10/2023 12:00:00 AM,Referral,Gymnastics,Bronze,7863,Female,9/4/1946 12:00:00 AM,58,True,True,True,
stephenbradford@yahoo.com,4d2dcb46-11af-45ab-9f70-bd18752ae648,Christopher,Jordan,Japan,8/1/2023 12:00:00 AM,Social Media,Baseball,Silver,6595,Non-Binary,12/7/2006 12:00:00 AM,59,True,False,True,
jacob60@watkins.com,2ad5846c-5d0c-46ab-8b32-06a034c1bbc2,Joshua,Bartlett,USA,4/6/2021 12:00:00 AM,Mobile App,Gymnastics,Gold,8838,Male,8/21/1947 12:00:00 AM,60,False,False,False,
reynoldsbecky@mann.com,145ffdd6-13e3-490b-b97b-c2fdcaf8d825,James,Smith,Germany,10/15/2024 12:00:00 AM,Website,Golf,Platinum,9385,Female,3/31/1967 12:00:00 AM,61,True,True,True,
tiffany44@newman.com,f87d370f-215d-4081-8ee2-f70cd3a02103,William,Hall,Germany,12/22/2024 12:00:00 AM,Social Media,Running,Silver,8465,Non-Binary,6/26/1979 12:00:00 AM,62,True,True,True,
burnsshawn@lane.com,7ba8b499-1eb7-4fd5-96e4-dfc7d12a72e5,Francisco,Lang,South Africa,4/8/2021 12:00:00 AM,Referral,Cricket,Platinum,398,Male,1/15/2004 12:00:00 AM,63,True,False,False,
ryanhayden@griffith.com,3feb0a66-dec3-42db-b5e4-8a14a91ed60d,William,Porter,France,10/20/2020 12:00:00 AM,Mobile App,Cycling,Bronze,989,Non-Binary,6/7/1989 12:00:00 AM,64,True,True,False,
aliciahill@richards-martin.com,779d5e91-c2e0-4942-9eeb-9bf23f87fe33,Larry,Garza,Australia,5/20/2024 12:00:00 AM,Social Media,Cycling,Gold,6281,Non-Binary,8/1/1945 12:00:00 AM,65,True,True,False,
agriffin@yahoo.com,40407d4f-81f1-45da-ade4-a26b4ac0e88d,Scott,Osborn,Japan,5/14/2022 12:00:00 AM,Referral,Golf,Platinum,1377,Non-Binary,5/14/2002 12:00:00 AM,66,False,True,False,
lisa40@hotmail.com,9b153df7-f290-425d-b7f6-755d167c3ef4,Mary,Young,Germany,10/22/2022 12:00:00 AM,Referral,Baseball,Gold,7736,Non-Binary,4/18/1999 12:00:00 AM,67,True,True,True,
williamsjoseph@hotmail.com,8acceb7c-4e80-4617-9324-5469d7701d07,Tammy,Ramirez,India,6/24/2023 12:00:00 AM,Social Media,Golf,Bronze,4515,Female,8/8/1950 12:00:00 AM,68,False,True,True,
wellsnathan@hall.com,ff583deb-1d24-4f13-b8e8-d97474cbee8c,Justin,Roberts,Australia,7/2/2024 12:00:00 AM,Website,Cricket,Bronze,4007,Non-Binary,2/21/1992 12:00:00 AM,69,False,True,True,
rhoward@cline-martinez.com,62b887ad-1c1f-4587-8161-ddf40f2d33a4,Christina,Robles,Japan,3/31/2024 12:00:00 AM,Referral,Running,Gold,1870,Female,1/19/1957 12:00:00 AM,70,False,False,False,
michelle87@kennedy.com,76c89cd5-92e6-4b82-9fe9-73acd0148f25,Michelle,Allen,India,8/20/2020 12:00:00 AM,In-Store,Tennis,Bronze,2563,Non-Binary,11/3/1950 12:00:00 AM,71,True,True,False,
zbrown@wall.net,65f664c2-7d5a-4437-8d05-5b9e5437a852,Stacey,Martin,Australia,7/9/2024 12:00:00 AM,Website,Cycling,Silver,4773,Male,12/25/1971 12:00:00 AM,72,True,True,True,
uwood@gmail.com,986cfb75-dd59-4fe6-9468-1f4b17b55fbf,Jordan,Knox,UK,7/16/2021 12:00:00 AM,Mobile App,Basketball,Gold,4413,Non-Binary,9/12/1962 12:00:00 AM,73,True,True,False,
kimberly64@gmail.com,4bdc598e-9e1d-4c17-be61-ea043f0b091d,Andrew,Williams,Japan,4/8/2024 12:00:00 AM,In-Store,Swimming,Gold,6418,Non-Binary,2/1/1980 12:00:00 AM,74,True,False,False,
brooksmichael@hotmail.com,21c42752-accd-48ec-b072-421bb3f628aa,Michelle,Duran,France,6/18/2024 12:00:00 AM,Social Media,Cricket,Bronze,230,Female,12/4/2003 12:00:00 AM,75,False,False,True,
nicholas73@gibson.com,19924539-1ae4-44c0-a1bb-68257cadbf19,William,Hill,Brazil,8/5/2024 12:00:00 AM,Referral,Gymnastics,Bronze,2928,Female,5/30/1961 12:00:00 AM,76,True,False,False,
henryjordan@day.com,846bb99e-486a-4399-8a15-49987a8bfae1,Angie,Gibbs,France,8/7/2024 12:00:00 AM,Social Media,Tennis,Gold,9090,Female,2/26/1962 12:00:00 AM,77,True,True,False,
isaac95@powell.net,b8232476-56cb-470a-b6ae-6719d48e2209,Brandon,West,UK,1/20/2021 12:00:00 AM,Social Media,Swimming,Bronze,8965,Non-Binary,9/21/1964 12:00:00 AM,78,False,False,False,
michellehenry@taylor.com,40a3c123-8a1e-481d-a705-1aa844f4ebe4,Sherri,Bennett,Japan,5/18/2022 12:00:00 AM,Social Media,Cricket,Silver,4752,Non-Binary,2/8/1986 12:00:00 AM,79,False,True,False,
jamiehiggins@rodriguez.com,0cb7a188-ad0b-4978-aa6d-a42cbdfd5f01,Robert,Brown,Canada,1/26/2022 12:00:00 AM,Mobile App,Soccer,Bronze,2081,Non-Binary,12/31/2005 12:00:00 AM,80,False,False,True,
emily91@randolph.net,edcf2258-4355-4192-999e-7f4313e56512,Frederick,Lopez,UK,7/30/2023 12:00:00 AM,Website,Tennis,Silver,3098,Female,8/28/2001 12:00:00 AM,81,False,True,False,
dianaschwartz@baxter-walker.com,1cdd795d-d348-4403-862c-054538b3750b,Jason,Pineda,Canada,1/18/2023 12:00:00 AM,In-Store,Gymnastics,Bronze,7930,Female,3/1/1995 12:00:00 AM,82,True,True,True,
hgomez@calderon-deleon.info,51c0ee91-b74d-4a8e-ae36-ab81ab006864,Dennis,Meadows,Germany,8/18/2024 12:00:00 AM,Mobile App,Cricket,Gold,3589,Non-Binary,1/25/2006 12:00:00 AM,83,True,True,True,
rjordan@hotmail.com,d7c145a3-f221-4711-be7e-881722287e54,Gregory,Robertson,Australia,10/2/2024 12:00:00 AM,Mobile App,Golf,Platinum,8886,Male,10/14/1980 12:00:00 AM,84,True,True,True,
kylebrown@gonzalez.com,11c8e964-2300-4b53-9c25-590f03b24f54,Cynthia,House,South Africa,8/9/2020 12:00:00 AM,Website,Golf,Gold,3443,Non-Binary,12/5/1990 12:00:00 AM,85,True,False,False,
ugarza@yahoo.com,5365e017-ea7f-4f2c-9ee2-f3d221f2a5ca,Paula,Newton,Australia,11/1/2023 12:00:00 AM,Website,Swimming,Gold,2577,Female,10/21/1981 12:00:00 AM,86,True,True,False,
jared01@romero.info,c457ded3-fc44-4903-bdd3-e16b2a0addf2,Wendy,Mccall,Japan,10/5/2021 12:00:00 AM,In-Store,Basketball,Gold,1372,Female,9/15/1950 12:00:00 AM,87,True,False,True,
stephen96@gmail.com,be5b4158-0f62-467f-9d42-e2ce67e8d2ca,Alex,Romero,USA,3/30/2020 12:00:00 AM,Mobile App,Cycling,Silver,8795,Female,8/8/1965 12:00:00 AM,88,False,False,True,
staceycox@hernandez-delacruz.com,97316fb8-008a-414b-b2fc-bcad9628bbe1,Rhonda,Robles,France,10/3/2024 12:00:00 AM,In-Store,Cricket,Bronze,6340,Female,1/26/1953 12:00:00 AM,89,False,True,False,
kgalloway@gmail.com,3ee6eb89-e9b4-4a87-a98d-91109180973a,Laurie,Marshall,Japan,5/19/2023 12:00:00 AM,Mobile App,Cricket,Platinum,6077,Male,9/29/1989 12:00:00 AM,90,True,True,True,
loganregina@snow-hayes.info,4a341142-8103-4c1d-a283-fe1cdf7aa3ac,Thomas,Walton,India,12/19/2021 12:00:00 AM,In-Store,Golf,Bronze,5122,Non-Binary,5/30/1985 12:00:00 AM,91,False,False,False,
stephanie70@sherman.com,ad0566fa-20b4-4915-9f9b-9474ad945d5f,Seth,Castro,Brazil,10/13/2022 12:00:00 AM,In-Store,Basketball,Gold,6737,Male,11/11/1992 12:00:00 AM,92,False,False,False,
joycemcmillan@yahoo.com,e313989d-ae83-4549-9b50-9478b18c2123,David,Chen,Canada,2/2/2024 12:00:00 AM,Referral,Swimming,Gold,3248,Female,3/12/1994 12:00:00 AM,93,True,True,True,
nicolecoleman@chen-davies.com,5bdb3174-ab76-4c23-a415-f42539ff10bb,Brandon,Munoz,UK,5/19/2024 12:00:00 AM,Social Media,Baseball,Bronze,410,Female,6/30/1958 12:00:00 AM,94,False,True,True,
tina93@yahoo.com,843e8d51-0ff0-4a4d-a3e9-d2c47a596ac8,Matthew,Clark,France,4/4/2021 12:00:00 AM,In-Store,Swimming,Platinum,4828,Female,6/10/1977 12:00:00 AM,95,True,False,True,
mercadonancy@romero.com,4a0b3cb8-3ce9-4ee6-afbe-73182938632e,Brandi,Hobbs,Canada,8/10/2020 12:00:00 AM,Website,Tennis,Platinum,915,Male,6/18/1974 12:00:00 AM,96,True,True,False,
briggsthomas@collier-clark.org,16adac1a-e824-4643-b497-7bc7e02958c3,Adam,Wilson,USA,7/23/2021 12:00:00 AM,Mobile App,Cycling,Silver,4767,Non-Binary,9/16/1985 12:00:00 AM,97,False,True,True,
fullercolin@davis-hoffman.net,65f96de6-c209-4b5d-a314-e5ab5fa5cc27,Tyler,Marshall,UK,9/27/2021 12:00:00 AM,Website,Tennis,Silver,8425,Male,3/5/1965 12:00:00 AM,98,True,True,False,
nicole97@reed.com,47749cf2-61f4-4c1c-8317-1f0338867cbe,Jeremy,Quinn,Germany,8/28/2021 12:00:00 AM,Social Media,Tennis,Gold,5880,Non-Binary,2/21/1978 12:00:00 AM,99,False,True,False,
dbenton@gmail.com,5e845eac-5b8d-4f64-b5a9-7ba898d76060,David,Russo,Canada,4/9/2020 12:00:00 AM, ,Running,Gold,8550,Non-Binary,7/27/1991 12:00:00 AM,100,True,True,False,
hvelez@smith.com,cea2dedc-2b9d-41cb-a97e-5a78262b61d2,Jason,Nelson,Canada,11/20/2024 12:00:00 AM,Mobile App,Golf,Gold,8465,Non-Binary,5/15/1970 12:00:00 AM,101,False,True,False,
browntara@yahoo.com,4f2de0bb-b44e-4f2b-98dd-d0868858eb51,Kathleen,Arnold,South Africa,8/14/2022 12:00:00 AM,Mobile App,Tennis,Silver,3842,Male,6/17/1960 12:00:00 AM,102,True,False,True,
kylepham@quinn.org,f8beb7fd-eb04-46cf-a23e-100d8393de6c,Charlotte,Evans,Germany,2/7/2025 12:00:00 AM,Referral,Basketball,Gold,613,Female,6/7/2004 12:00:00 AM,103,True,True,False,
wharris@bennett-thomas.com,450e131f-21e1-49bf-8d40-89514431bfe2,Holly,Stuart,Brazil,7/19/2024 12:00:00 AM,Referral,Gymnastics,Platinum,1294,Female,7/13/1966 12:00:00 AM,104,True,True,True,
thomaswiley@yahoo.com,b467c8af-1475-4a12-96f1-4a46db7573a4,Yvonne,Long,France,12/29/2020 12:00:00 AM,Social Media,Baseball,Silver,2213,Non-Binary,11/23/1951 12:00:00 AM,105,True,True,True,
geoffreywebb@galloway.com,f02160f8-80f2-4479-89fc-e31d7990cc35,Rhonda,Peterson,Canada,8/30/2024 12:00:00 AM,In-Store,Basketball,Bronze,9940,Female,10/6/1981 12:00:00 AM,106,False,False,True,
barneselizabeth@underwood-johnson.net,527a4602-a631-4ba1-87ec-c02ac69d668d,Kathleen,Williams,Japan,8/2/2022 12:00:00 AM,Social Media,Tennis,Bronze,4969,Female,2/10/1971 12:00:00 AM,107,True,False,False,
xryan@hotmail.com,895569d5-1214-4ab9-b03d-ff20c36103bb,Sandra,Aguilar,UK,7/23/2022 12:00:00 AM,In-Store,Running,Bronze,8229,Male,5/12/1960 12:00:00 AM,108,False,False,True,
laura22@yahoo.com,909ed17d-626c-4500-8ee4-dca70fa6438e,James,Lowery,UK,8/23/2023 12:00:00 AM,Website,Cycling,Bronze,9169,Non-Binary,3/27/1988 12:00:00 AM,109,True,True,False,
snyderjonathan@gmail.com,bb74e3fa-ec64-43ff-ad18-34cafd1f62b0,Joseph,Smith,Brazil,4/15/2023 12:00:00 AM,Mobile App,Running,Gold,397,Male,7/15/1965 12:00:00 AM,110,False,False,False,
iwatkins@gmail.com,110c5e71-073b-4792-8ec9-020467f8d3bc,Gina,Brooks,France,3/20/2022 12:00:00 AM,Social Media,Basketball,Platinum,4731,Female,4/5/1974 12:00:00 AM,111,True,True,True,
brianmurphy@hotmail.com,a47a3245-fae5-47ac-8ef3-8052cd2c4069,Darius,White,Canada,8/24/2022 12:00:00 AM,Website,Soccer,Bronze,7986,Male,1/26/1970 12:00:00 AM,112,True,False,True,
sarah39@montoya.com,487297a9-b6e0-4e4d-b922-693c158f7f1f,John,Rivas,France,10/6/2021 12:00:00 AM,Social Media, ,Gold,8076,Female,11/25/2006 12:00:00 AM,113,True,True,False,
volson@williams-castro.net,85167a6b-7167-4a36-a29f-ea59622584dd,Michelle,Ellison,Brazil,4/4/2021 12:00:00 AM,Social Media,Cricket,Gold,7298,Non-Binary,8/30/2005 12:00:00 AM,114,True,True,False,
raymond59@gmail.com,b687ea30-2d8e-4a0e-94de-83ae2a5021c8,Thomas,Smith,South Africa,7/17/2021 12:00:00 AM,Referral,Running,Gold,3897,Female,7/13/1983 12:00:00 AM,115,True,True,False,
elizabethsutton@yahoo.com,9871d1bd-1aef-4742-b14c-5c485434ca71,Brian,Welch,South Africa,6/26/2020 12:00:00 AM,Mobile App,Golf,Gold,5723,Male,10/22/1973 12:00:00 AM,116,False,True,True,
brittanypowers@taylor.com,3e3aadc7-ccd7-4e32-9183-a41e9cfc84cd,Raymond,Schroeder,Canada,4/2/2024 12:00:00 AM,Social Media,Cricket,Platinum,3294,Female,12/3/1982 12:00:00 AM,117,False,False,False,
palmerdawn@franklin.org,68e37eaf-cbf9-4b0a-ad85-113819e6e64a,Courtney,Wilson,India,4/22/2020 12:00:00 AM,Social Media,Running,Silver,8367,Non-Binary,7/24/1963 12:00:00 AM,118,True,True,False,
hardincarla@yahoo.com,56dfa0f6-2efd-4b0c-9c8d-4024b231ffe0,Denise,Johnson,Germany,4/14/2022 12:00:00 AM,Social Media,Soccer,Platinum,9906,Female,4/28/1953 12:00:00 AM,119,False,False,False,
garciadaniel@hotmail.com,6478bdda-6c9c-4e04-b481-67fb933797a9,William,Tate,Germany,2/1/2022 12:00:00 AM,Social Media, ,Platinum,1282,Male,6/9/1957 12:00:00 AM,120,True,False,True,
