MemberID,FirstName,LastName,Email,Phone,Status,JoinedDate
71075c7d-91bb-4991-bd12-673c3ecc3e5f,Chad,Potter,amandavargas@example.net,22676932874678,Inactive,4/1/2025 12:00:00 AM
6e8e6f21-9ecc-4b85-975d-97cfc143d36b,Ryan,Elliott,paul86@example.com,7928857379,Pending,4/1/2025 12:00:00 AM
412a1d36-36ae-4798-a2ca-606169fc9e86,Debra,Wilson,antoniobarrera@example.com,56378667927689,Pending,4/1/2025 12:00:00 AM
a8c81f59-7b6b-4bd6-b14b-377db221f87e,Alexandra,Lopez,marshallrhonda@example.net,6983318352861,Inactive,4/1/2025 12:00:00 AM
7e51d14c-3da3-4aef-bbfa-9ec0b3671153,Matthew,Griffin,sarah63@example.org,9675869158,Inactive,4/1/2025 12:00:00 AM
5ce6d576-1d51-4ae5-979d-0842fcc668ac,John,Woods,crystal79@example.com,2427958493,Inactive,4/1/2025 12:00:00 AM
b03c5f13-a0f6-4a44-bf0a-c3bfaf8a84c8,Lisa,Matthews,john88@example.org,955258654661025,Inactive,4/1/2025 12:00:00 AM
b7be4a05-ec4e-4bc0-8858-dc2982c1884a,Kimberly,Fisher,vcarpenter@example.com,0017953486178,Pending,4/1/2025 12:00:00 AM
ad55d686-67c1-40f2-835f-720eac7ad27d,Sarah,Stout,elizabeth56@example.org,7458679301,Active,4/1/2025 12:00:00 AM
f0910be4-5f87-4a1b-933b-c9496786218d,Lisa,Carter,loristevens@example.org,9284875050,Active,4/1/2025 12:00:00 AM
93816d2c-dc8f-4189-9d41-d62536e0d751,Matthew,Bowers,victoria91@example.com,5855258446,Pending,4/1/2025 12:00:00 AM
cebd2184-39e3-4017-b138-a1a4ce949ccb,Christopher,Perry,nicolegallagher@example.net,9677891784,Inactive,4/1/2025 12:00:00 AM
6a1b378d-0a6c-4a33-82e9-70e6378e8703,Christopher,Hurst,morrisonchristine@example.net,19264017573512,Inactive,4/1/2025 12:00:00 AM
e57763ed-c27a-4d32-b90d-5842c0279106,Gregory,Campbell,lewislisa@example.org,506693704474800,Inactive,4/1/2025 12:00:00 AM
6c0f8e85-9db3-4757-a768-2207162e1bbb,Rebecca,Soto,wallacelaura@example.com,0014692266828,Inactive,4/1/2025 12:00:00 AM
860cd267-c6aa-4940-b89f-f0dc212d3680,Christopher,Sandoval,robert50@example.net,2468205881,Pending,4/1/2025 12:00:00 AM
06b58315-3023-494e-a99e-78ea9060b0c8,Hayley,Ramirez,wendyferguson@example.org,6718672024374,Pending,4/1/2025 12:00:00 AM
06553b84-b14f-4214-b729-1574af974996,Candice,Hernandez,william86@example.org,7895856418580,Pending,4/1/2025 12:00:00 AM
0a83358f-9863-4e7b-a426-f544431daf5d,Lori,Nguyen,ryan33@example.com,7375056339,Inactive,4/1/2025 12:00:00 AM
943e1bf5-029c-4d3a-8e3e-1db01b908bd7,Jeremy,Ortiz,hannahcunningham@example.com,6245712602509,Inactive,4/1/2025 12:00:00 AM
3d7decdc-ee08-4542-884f-c782cb1435bf,Maria,Christensen,john57@example.com,9233413906224,Pending,4/1/2025 12:00:00 AM
b1ec2e1f-02c4-4f92-ab8b-84dbb00f55b2,Angelica,Cook,parkermanuel@example.com,6848451944749,Inactive,4/1/2025 12:00:00 AM
05fad0eb-954b-4a56-93d7-fc76534b50d7,Hector,Wagner,rosssara@example.org,757525967780849,Inactive,4/1/2025 12:00:00 AM
